AuthorId,DuplicateAuthorIds
2108449,2108449
224716,224716
688863,688863
898252,898252
966329,966329
964309,964309
885834,885834
409110,409110
835523,835523
2270816,2270816
147445,147445
2242879,2242879
990053,990053
273503,273503
947730,947730
331004,331004
165117,165117
1457272,1457272
1643475,1643475
559002,559002
386875,386875
2245719,2245719
1359268,1359268
1006554,1006554
790570,790570
1117472,1117472
1263973,1263973
787050,787050
1745389,1745389
57198,57198
1105985,1105985
1074393,1074393
51677,51677
2083606,2083606
992800,992800
1640326,1640326
1640991,1640991
1112773,1112773
1029529,1029529
310596,310596
1731783,1731783
510091,510091
603769,603769
687027,687027
2164014,2164014
1119030,1119030
1761683,1761683
991440,991440
853869,853869
1949722,1949722
2258026,2258026
2157569,2157569
402581,402581
1271312,1271312
1052480,1052480
300872,300872
486918,486918
2092062,2092062
158224,158224
1697794,1697794
597643,597643
1284977,1284977
332309,332309
1386015,1386015
1170837,1170837
1106701,1106701
783938,783938
1210485,1210485
322780,322780
1909439,1909439
914745,914745
2084936,2084936
236836,236836
418099,418099
389883,389883 1240002
724467,724467
2195484,2195484
1250747,1250747 569590 492971
2230021,2230021
1545889,1545889
1975258,1975258
2037890,2037890
1094275,1094275
1208722,1208722
2001399,2001399
115109,115109
2089662,2089662
1306352,1306352
402365,402365
1543166,1543166
1901945,1901945
2128024,2128024
1284646,1284646
2212420,2212420
50830,50830 1145370
1707367,201011 1707367
1798872,1798872
1128460,1128460
515919,515919
1428098,1428098
904485,904485
2042201,2042201
1990844,1990844
1428391,1428391
1922237,1922237
1381328,1381328
1881187,1881187
473396,473396
659161,659161
292012,292012
369009,369009
451467,451467
337060,337060
555660,555660
516171,516171
1280261,1280261
540686,540686
1063696,1063696
81956,81956
1553316,1553316
399796,399796
1163783,1163783
540730,540730
1849144,1849144
51419,51419
818190,818190
272265,272265
2288451,2288451
1793257,1793257
2115674,2115674
273908,273908
2097914,2097914
1614041,1614041
682592,682592
154837,154837
1552584,1552584
125251,125251
1570152,1570152
1501569,1501569
760597,760597
455053,455053
205071,205071
213601,213601
172049,172049
2019307,2019307
1409450,1409450
1192611,1192611
775363,775363
362051,362051
1669136,1669136
2130218,2130218
277993,277993
251086,251086
1123935,1123935
231160,231160
166319,166319
883013,883013
877520,877520
115050,115050
1206528,1206528
169636,169636
288801,288801
1901650,1901650
1180305,1180305
15344,15344
1374032,1374032
460149,460149
1127937,1127937
460750,460750
490787,490787
1665799,1665799
1762010,1762010
2069041,2069041
918363,918363
81292,81292
924498,924498
233699,233699
314254,314254
418349,418349
1540897,1540897
954517,954517
1629025,1629025
329219,329219
352850,352850
2194714,2194714
617677,617677
683814,683814
1966279,1966279
590193,590193
988214,988214
1998462,1998462
1309518,1309518
1642280,1642280
1960852,1960852
354131,354131
1270101,1270101
2140312,2140312
2004238,2004238
676323,676323
465359,465359
220764,220764
357957,357957
2096824,2096824
280883,280883
931128,931128
1417551,1417551
1646993,1646993
291362,291362
133648,133648
1125582,1125582
1742664,1742664
838583,838583
1311916,1311916
1343187,1343187
829697,829697
2152574,2152574
1791763,1791763
111307,111307
2086042,2086042
853457,853457
908518,908518
2207650,2207650
1655355,1655355
1704858,1704858
8495,8495
1447611,1447611
1072832,1072832
1534513,1534513
1892552,1892552
1135339,1135339
135192,135192
2203411,2203411
1891087,1891087
134294,134294
769178,769178
537464,537464
862084,862084
2178914,2178914
1162066,1162066
492042,492042
979040,979040
2075875,2075875
511455,511455
238535,238535
881391,881391
1934375,1934375
285157,285157
1912685,1912685
2039150,2039150
128363,128363
1314540,1314540
1673519,1673519
790747,790747
1786176,1786176
215914,215914
1017473,1017473
576769,576769
793114,793114
1795844,1795844
106728,106728
2052796,2052796
256884,256884
1046636,1046636
2206094,2206094
951584,951584
1817306,1817306
690670,690670
198805,198805
1088660,1088660
629826,629826
10753,10753
587241,587241
802438,802438
1706939,1706939
2070186,2070186
687416,687416 2287629
1411312,1411312
2102988,2102988
542670,542670
34231,34231
2194346,2194346
1561311,1561311
1006641,1006641
1426704,1426704
650995,650995
168207,168207
1397826,1397826
570055,570055
1605194,1353976 1605194
963532,963532
358833,358833
759060,759060
887713,887713
88564,88564
17204,17204
127728,127728
248715,248715
2061910,2061910
1701075,1701075
96696,96696
755697,755697
327514,327514
383471,383471
2281637,2281637
2131764,2131764
1405831,1405831
1562476,1562476
1003672,1003672
511339,511339
131502,131502
257742,257742
530460,530460
729592,729592
238056,238056
900850,900850
633551,633551
1097823,1097823
1027031,1027031
1562270,1562270
1151885,1151885
1206459,1206459
2189023,2189023
244346,244346
2117661,2117661
621533,621533
708320,708320
1465217,1465217
1288308,1288308
759661,759661
426939,426939
1478606,1478606
1201866,1201866
2064300,2064300
769261,769261
1013640,1013640
40632,40632
745392,745392
166369,166369
973707,973707
828337,828337
484408,484408
1521185,1521185
834123,834123
1899632,1899632
1409076,1409076
366142,366142
750056,750056
207587,207587
813369,813369
1523237,1523237
735996,735996
94572,94572
2140933,2140933
1360356,1360356
156179,156179
435905,435905
1899318,1899318
936322,936322
1455179,1455179
198164,198164
634536,634536
1662457,1662457
267715,267715
871346,871346
1451141,1451141
1655031,1655031
1417050,1417050
35511,35511
776023,776023
353455,353455
1083949,1083949
411415,411415 2197914
2272597,2272597
434240,434240
622276,622276
415533,415533
1016249,1016249
1365471,1365471
410803,410803
1703196,1703196
1471430,1471430
873980,873980
1936713,1936713
662096,662096
141828,141828
165364,165364
314203,314203
1296782,1296782
314982,314982
1981219,1981219
2125020,2125020
670456,670456
592167,592167
203663,203663
979605,979605
401726,401726
1771961,1771961
665110,665110
473087,473087
1139345,1139345
1153904,1153904
163786,163786
2124670,2124670
1453812,1453812
915263,915263
662193,662193
200974,200974
1648653,1648653
903907,903907
944934,944934
1181377,1181377
1761863,1761863
91156,91156
341248,341248
749869,749869
307934,307934
547762,547762
1279025,1279025
586368,586368
1669253,1669253
173167,173167
11162,11162
161137,161137
1575676,1575676
1772168,1772168
457842,457842
1171980,1171980
712617,712617
229134,229134
2087456,2087456
509150,509150
1119327,1119327
1164756,1164756
595092,595092
1073372,1073372
147985,147985
1116820,1116820
1138791,1138791
1396520,1396520
1889339,1889339
2286977,2286977
1238903,1238903
393556,393556
1213702,1213702
1843931,1843931
1108777,1108777
1163003,1163003
178529,178529
1034228,1034228
82983,82983
721192,721192
1761675,1761675
1726229,1777478 1726229
407989,407989
2131666,2131666
897526,897526
493213,493213
1688734,1688734
534259,534259
17714,17714
1286914,1286914
756075,756075
1901498,1901498
1040874,1040874
2024476,2024476
1580355,1580355
1263899,1263899
1326931,1326931
858377,858377
232011,232011
1383383,1383383
118927,118927 413444
73698,73698
241780,241780
683501,683501
311896,311896
632204,632204
189342,189342
1273013,1273013
137439,137439
877681,877681
1706458,1706458
1130228,1130228
1461783,1461783
2208690,2208690
1136955,1136955
1536247,1536247
1148748,1148748 1784907
1364806,1364806
644917,644917
534413,534413
1437678,1437678
187294,187294
348871,348871
574710,574710
1256357,1256357
1770825,1770825
100175,100175
1640815,1640815
1514444,1514444
1500775,1500775
1626466,1626466
654654,654654
1877108,1877108
1440098,1440098
204919,204919
1399253,1399253
32707,32707
1503078,1503078
1276702,1276702
1765206,1765206
699321,699321
402259,402259
2237277,2237277
439478,439478
2273318,2273318
1586706,1586706
1993184,1993184
1977862,1977862 757908
237867,237867
254735,254735
1187679,1187679
1479116,1479116
2003445,2003445
1708140,1708140
341643,341643
1086567,1086567
1023032,1023032
1438600,1438600
1779129,1779129
22670,22670
2221309,2221309
712876,712876
787671,787671
506236,506236
212625,212625
1281237,1281237
1576149,1576149
1830846,1830846
2061190,2061190
160318,160318
534374,534374
1706718,1706718
201970,201970
767422,767422
1750335,1750335
949834,949834
2245759,2245759
1517810,1517810
1152032,1152032
1855735,1855735
525714,525714 2090605
47262,47262
667045,667045
1018117,1018117
230721,230721 726759
152698,152698
895378,895378
1838092,1838092
714999,714999
292792,292792
891905,891905
510381,510381
1661639,1661639
1549542,1549542
1389538,1389538
510304,510304
1047503,1047503
207716,207716
881034,881034
38172,38172
768287,768287
387487,387487
1646262,1646262
467042,467042
1524288,1524288
140813,140813
1643490,1643490
668108,668108
1925592,1925592
1795161,1795161
371478,371478
880738,880738
959722,959722
1711459,1711459 1911475
1478141,1478141
886568,886568
1195580,1195580
2125711,2125711
2011898,2011898
1742270,1742270
880719,880719
1449076,1449076
693816,693816
2020208,2020208
1263759,1263759
73093,73093
1242718,1242718
2107961,2107961
1904480,1904480
1268786,1268786
2293329,2293329
237224,237224
2251528,2251528 333606
238262,238262
155687,155687
2154462,2154462
1259818,1259818 1494005
2285085,2285085
36022,36022
919793,919793
1747324,1747324
2134629,2134629
1726523,1726523
713460,713460
1198484,1198484
1200334,1200334
1110592,1110592
26764,26764
29704,29704 2281167
1889736,1889736
660945,660945
1378789,1378789 1878459
659484,659484
757023,757023
1341757,1341757
1000746,1000746
142663,142663
1565215,1565215
481398,481398
614949,614949
1031008,1031008
339067,339067
567260,567260
1374752,1374752
2035742,2035742
1823578,1823578
556555,556555
1173765,1173765
1589418,1589418
1681093,1681093
1557590,1557590
897936,897936
154978,154978
764294,764294
1327503,1327503
1479572,1479572
1143715,1143715
1478000,1478000
1651791,1651791
985661,985661
1899564,1899564
2179251,2179251 1760581
587480,587480
880021,880021
129915,129915
1666299,1666299
925346,925346
1056003,1056003
570872,570872
1474083,1474083
278766,278766
1863844,1863844
1879800,1879800
1459759,1459759
1288130,1288130
1983770,1983770
1399476,1399476
184553,184553
507193,507193
694146,694146
2004070,2004070
1772569,1772569
391409,391409
1083566,1083566
894816,894816
1422470,1422470
446316,446316
2074099,2074099
848460,848460
1007636,1007636
1829809,1829809
2222478,2222478
1561524,1561524
314894,314894
23429,23429
406443,406443
225079,225079
1123333,1123333
1668024,1668024
647656,647656
525756,525756
2049784,2049784
2139242,2139242
722338,722338
639809,639809
1528347,1528347
872487,872487
1796555,1796555
1835706,1835706
409285,409285
1218823,1218823
154502,154502
1781107,1781107
1026288,1026288
1002302,1002302
1753715,1753715
1214755,1214755
30976,30976
1302167,1302167
1414465,1414465
2090303,2090303
1418421,1418421
607526,607526
1263803,1263803
1143622,1143622
532508,532508
474176,474176
588709,588709
1267635,1267635
2116031,2116031
1683028,1683028
1088857,1088857
1859148,1859148
1123850,1123850
472614,472614
1594746,1594746
910238,910238
528353,528353
1488474,1488474
736326,736326
981974,981974
689932,689932
345519,345519
1931037,1931037
641161,641161
1836060,1836060
1318903,1318903
1869213,1869213
304749,304749
1051119,1051119
3412,3412
1955609,1955609
126248,126248
1494611,1494611
1703253,1703253
1432370,1432370
1303520,1303520
1934255,1934255
1327502,1421368 1054857 1327502 530640
1507568,1507568
564623,564623
2097526,2097526
954582,954582
54783,54783
114823,114823 379663
451120,451120
1378795,1378795
1792563,1792563
1822794,1822794
1152370,1152370
928168,928168
1079706,1079706
1982884,1982884
1108105,1108105
1110812,1110812
910795,910795
2291169,2291169
951685,951685
379466,379466
1482068,1482068
1454738,1454738
1263914,1263914
1582353,1582353
1819769,1819769
1713664,1713664
2265950,2265950
917556,917556
56090,56090
1101226,1101226
547878,547878
1047714,1047714
999853,999853
1739081,1739081
959536,959536
715501,715501
361438,361438
2063253,2063253
2168343,2168343
1508868,1508868
205692,205692
425238,425238
352677,352677
1730663,1730663
2158758,2158758
2007968,2007968
1353639,1353639
1223460,1223460
27781,27781
163241,163241
246845,246845
2105336,2105336
1802278,1802278
229818,229818
1129065,1129065
565273,565273
1072106,1072106
618627,618627
969642,969642
1068299,1068299
1008821,1008821
1320258,1320258
963201,963201
141548,141548
1776291,1776291
2269974,2269974
1277084,1277084
354058,354058
1991442,1991442
250971,250971
1118164,1118164
532946,532946
2090125,2090125
2108073,2108073
183471,183471
1879332,1879332
1746867,1746867
1619697,1619697
1651991,1651991
49836,49836
527149,527149
223368,223368
203948,203948 252149
1185403,1185403
699342,699342
1232812,1232812
1650924,1650924
1269089,1269089
285132,285132
789298,789298
698181,698181
2247011,2247011
132746,132746
1322822,471092 1322822
2140529,2140529
753349,753349
678628,678628
571057,571057
2089350,2089350
692870,692870
1526932,1526932
697831,697831
53948,53948
1871274,1871274
1181879,1181879
929426,929426
1728974,1728974
142724,142724
63557,63557
1331323,1331323
2171820,2171820
208346,208346
1583941,1583941
963600,963600
1872989,1872989
1051002,1051002
1725029,1725029
1408707,185899 1408707 749947 709493
500235,500235
1107962,1107962
82050,82050
1044366,1044366
1035152,1035152
67341,67341
1137969,1137969
392032,392032
1902233,1902233
744781,744781 2150086
1017420,1017420
1364718,1364718
2010906,2010906
2094152,2094152
1512767,1512767
1254257,1254257
410904,410904
35074,35074
154644,154644
1294977,1294977
1357839,1357839
1350064,1350064
2210772,2210772
937867,937867
1774717,1774717
506937,506937
370007,370007
1911085,1911085
2091257,2243453 105218 2091257
287723,287723
286475,286475
703205,703205
574845,574845
803026,803026
683192,683192
1357395,1357395
1805300,1805300
2270431,2270431
1822366,1822366
1382103,1382103
1733195,1733195
775675,775675
85507,85507
851703,851703
1069361,1069361
1216275,1216275
1207585,1207585
1095346,1095346
2023764,2023764
1777665,1777665
1453090,1453090
109041,109041
1398403,1398403
1684128,1684128
44249,44249
2144290,2144290
1747757,1747757
1546080,1546080
803738,803738
1211260,1211260
359508,359508
433037,433037
285128,285128
1212129,1212129
1432193,1432193
110997,110997
2014339,2014339
1818563,1818563
1008318,1008318
706218,706218
367634,367634
1515734,1515734
1937309,1937309
1147829,1147829
836488,836488
908003,908003
1798767,1798767
1122568,1122568
521878,521878
973429,973429
175727,175727
557315,557315
648832,648832
425875,425875
571441,571441
33477,33477
393733,393733
1484075,1484075
937981,937981
802244,802244
1028892,1028892
2122338,2122338
751863,751863
959435,959435
1524760,1524760
1099515,1099515
162578,162578
889671,889671
1690428,1690428
1163582,1163582
2062630,2062630
1918705,1918705
867723,867723
624961,624961
2035956,2035956
802782,802782
1940973,1940973
956191,956191
935646,935646
323371,323371
175844,175844
74347,74347
787186,787186
6241,6241
234857,234857
1535885,1535885
923173,923173
940801,940801
577875,577875
973893,973893
34003,501510 34003
1032387,1032387
2164824,2164824
693107,693107
1881381,1881381
2043354,2043354
1388855,1388855
197511,197511
1903120,1903120
297542,297542
611989,611989
1022222,1022222
363160,363160
207957,207957
2132191,2132191
1524600,1524600
1161799,1161799
877456,877456
1981815,1981815
822656,822656
2139646,2139646
95436,95436
1503,1503
2195888,2195888
591839,591839
1205518,1205518
378769,378769
21196,21196
566988,566988
577296,577296
1061388,1061388
109230,109230
1417605,1417605
931062,931062
878641,878641
517257,517257
887627,887627
799768,799768
221465,221465
1579571,1579571
2103509,2103509
186348,186348
1739517,1739517
1589415,1589415
691739,691739
1513569,1513569
613478,613478
1237210,1237210
1952006,1952006
1769302,1769302
1192927,1192927
733431,733431
587847,587847
1499323,1499323
1171503,1171503
1460989,1460989
887356,887356
336930,336930
1892623,1892623
1491997,1491997
1635274,1635274
324427,324427
125032,125032
1903998,1903998
463589,463589
1275288,1275288
1373502,1373502
559440,559440
1607813,1607813
992209,992209
2125070,2125070
316763,316763
1268996,1268996
1647020,1647020
260356,260356 1049438
565904,565904
1353010,1353010
1220534,1220534
