Id,Name,Affiliation
426,Michael Thomas,California Institute of Technology
2276,Stephen S. Hecht,University of Minnesota
14993,Paulo E. Santos,Centro Universitário da Fundacao Educacional Inaciana Pe Saboia de Medeiros
15665,Marco Gobbi,Mario Negri Institute Pharmacology Research
18316,Marcus Kracht,
18731,Lung-fei Lee,Ohio State University
21226,Bo Liu,Chinese Academy of Sciences
21482,Daniel P. Siewiorek,Carnegie Mellon University
21794,Carlos Henrique Brito Cruz,Universidade Estadual de Campinas
22742,Hiroto Saigo,
23873,Roger G. Grimes,
24321,Amr El Abbadi,University of California Santa Barbara
24858,Robert Hirschfeld,University of Potsdam
28903,Raissa M. D'souza,University of California Davis
33409,Naresh R. Shanbhag,University of Illinois Urbana Champaign
33595,George Lusztig,Massachusetts Institute of Technology
34318,Paul H. Harvey,University of Oxford
35533,Milos Prvulovic,Georgia Institute of Technology
36444,R. E. Kurt Stirewalt,Michigan State University
42251,Piet Demeester,Ghent University
44721,David Lewis,Princeton University
45916,Juan J. Rodriguez-andina,
52319,Srini Ramaswamy,ABB Corporate Research Center
55270,Dirk M. Guldi,University of Erlangen Nuremberg
55356,Hiroyuki Yoshikawa,University of Tsukuba
56016,Ramesh Chandra,University of Delhi
56110,Lev D. Landau,Lomonosov Moscow State University
59145,Watts S. Humphrey,
63669,Rick Beatson,
64740,Wil M. P. van der Aalst,
66400,J. T. Gosling,
67164,Pier Luca Lanzi,
67870,Michael P. Dooley,
69938,Miguel Atencia,Universidad de Málaga
70860,Avideh Zakhor,
70989,T. Asokan,
72774,Jose Ragot,National Polytechnic Institute of Lorraine
73527,Krishna G. Palepu,Harvard University
73938,Jian-Min Jin,
76507,Jonathan H. Hamilton,University of Florida
76801,Alexander Galetovic,Universidad de los Andes
77761,Robert M. Keller,
84867,Nicolae Coriolan Panoiu,University College London
85897,Jonathan P. McCammond,
86697,Romeo Sanchez,University of Southern California|Information Sciences Institute
86845,Jie Gao,Stony Brook University
89603,Iain S. Duff,Science and Technology Facilities Council
92232,Shou-Yi Chen,Chinese Academy of Sciences
93570,Xiaodong Wang,University of Illinois Chicago
96421,Karen M. O'keefe,
96782,Anders Krogh,University of Copenhagen
97291,Laura K. Dillon,
99985,Uwe Hohenstein,Corporate Technology
101246,Mikael Hedren,Lund University
102270,Yu Zhang,University of Science & Technology of China
107602,Karin Rengefors,Lund University
110378,Emilio Carlos Gomes Wille,Universidade Tecnológica Federal do Paraná
111421,Hongji Yang,De Montfort University
116433,Ralf Sasse,
120946,John J. P. Kastelein,Academic Medical Center University of Amsterdam
121099,Nicholas Bloom,Stanford University
122892,Lanbo Liu,
123183,Rui Vilela Mendes,Instituto Superior Técnico
123269,Volker Tresp,Siemens
123292,Delfim F. M. Torres,University of Aveiro
124308,Eugene W. Myers,University of California Berkeley
124974,Christophe Bruley,"Action Romans, INRIA Rhône-Alpes, ZIRST, 655, av. de l'Europe, Montbonnot"
127721,Donald J. Berndt,
128501,Wen-Hsiung Li,University of Chicago
128547,Hossein Hashemi,University of Southern California
128724,Gang Wu,"Microsoft, Redmond"
131073,Barry C. Sanders,
131870,Arnold J. Levine,Institute for Advanced Study
133502,Chau-wen Tseng,University of Maryland
134158,Richard P. Gabriel,
134962,Matthias Staudacher,Humboldt University of Berlin
139754,Peter Mc L. Black,
140813,Gene Cooperman,College of Computer Science
142580,Dimitris Karlis,
145136,Jerome Gensel,
145197,Thelma Estrin,University of California Los Angeles
148555,Mauricio Orozco-Alzate,Universidad Nacional de Colombia
149166,Caroline Minter Hoxby,Stanford University
150094,Frank D. McKeon,Harvard University
153063,Garrison W. Cottrell,
155053,Federico Girosi,Rand Corporation
157349,Louis J. Farrugia,University of Glasgow
158224,C. H. Shepherd-Themistocleous,Science and Technology Facilities Council
158791,Richard Murray,California Institute of Technology
162889,Peter Fischer,Lawrence Berkeley National Laboratory
164104,Hisashi Kashima,University of Tokyo
164166,Fred E. Regnier,Purdue University
169503,Chung Cheng Hsieh,University of Massachusetts
169521,Jun Young Lee,Korea Advanced Institute of Science & Technology
178041,Daniel Jean Roger Nordemann,Instituto Nacional de Pesquisas Espaciais
178501,Edmond C. Roelof,
180022,Stuart A. Gabriel,University of California Los Angeles
182415,David E. Huber,
182601,Bruce J. MacFadden,Florida Museum of Natural History|University of Florida
183382,Jean Bourgain,Institute for Advanced Study
184368,Vivek B. Tawde,
186778,Maorong Ge,
188228,Jeanne Brooks-Gunn,Columbia University
188614,Paulo Jorge Pires Ferreira,Technical University of Lisbon
189013,Chabane Djeraba,
193144,Wael M. Badawy,University of Calgary
193234,Robin D. Rogers,
193960,Andreas. Manz,Korea Institute of Science and Technology Europe
199126,Kemal Ebcioglu,IBM
200693,Yahya Rahmat-Samii,
201011,Andrew B. Abel,University of Pennsylvania
206427,Darren B. Ward,
206985,Josep Domingo-ferrer,
208632,Richard H. Schelp,University of Memphis
209910,William N. Evans,University of Notre Dame
211603,Timothy Freeman,
214282,Ingrid R. Olson,Temple University
216987,Chris A. Vissers,
217210,Assaf Razin,Cornell University
219216,Daniel F. Lieuwen,
223325,Enrico Pontelli,
229041,Donald G. Truhlar,
230221,Stefan Hillmer,Heidelberg University
