Id,Title,Year,ConferenceId,JournalId,Keyword
426,Planar embedding: linear-time algorithms for vertex placement and edge orderings,1988,0,17151,
702,Factors Influencing the Dimer to Monomer Transition of an Antibody Single-Chain Fv Fragment<sup>†</sup>,1998,0,1462,
977,INCREASING THE EFFICIENCY OF CO2 TRANSVERSE ELECTRIC ATMOSPHERIC LASERS BY USE OF LOW IONIZATION-POTENTIAL ADDITIVES,1981,0,-1,
1180,Knowledge engineering for automated map design in DESCARTES,1999,730,0,data characterization|knowledge engineering|map visualization design
2041,Radiation Sensitivity of Photochromic Diarylethenes,2000,0,2231,"Diarylethenes,Radiation,Sensitivity"
2276,Direct coal gasification with simultaneous production of electricity in a novel fused metal anode SOFC: a theoretical approach,1999,0,8444,
3987,Thermal Via Allocation for 3-D ICs Considering Temporally and Spatially Variant Thermal Power,2008,0,694,
4616,"N,C-bonded ?-diketiminato phosphenium cations",2006,0,1937,
4700,"Characterization of (Al, Si)N films deposited by balanced magnetron sputtering",2009,0,7015,Nanocomposite film; Magnetron sputtering; Hardness; Optical transmittance; Scanning electron microscopy
5357,Nucleation rate and vapor concentration estimations using a least squares aerosol dynamics method,2004,0,15256,"atmospheric aerosols,aerosol formation,least squares"
6499,Ion sputtering as a probe of liquid surfaces,1999,0,2264,
6777,On the Applicability of Rules to Automate Data Warehouse Logical Design,2003,550,0,
7052,"Search Intensity, Cost of Living and Local Labour Markets in Britain",2003,0,0,dynamic panel data; GMM estimation; job matching; measurement errors; search intensities; spatial correlation
7223,,2011,0,1550,Haliotis discus hannai Ino; Antioxidant enzyme; Heat shock protein; Real-time quantitative PCR; Zinc
7283,Improving SMS Usability Using Bayesian Networks,2002,362,0,
7759,Space Bounds for Transactional Synchronization,1997,0,0,
7832,Control Flow Checking in Multitasking Systems,0,0,0,"Keywords Fault tolerant computing, concurrent error detection, control flow checking, watchdog-pro- cessors"
8278,MIKE: the menu interaction kontrol environment,1986,0,225,"Additional Key Words and Phrases: Dialogue design tools, human-computer interfaces, User Interface Management Systems"
8611,A Two-Dimensional Model for Simulating the Transport and Fate of Toxic Chemicals in a Stratified Reservoir,2003,0,6091,
8779,Asymptotic lattices and their integrable reductions: I. The Bianchi-Ernst and the Fubini-Ragazzi lattices,2001,0,8490,
8866,Bitemporal Relation,2009,0,0,
9126,A Group Process Approach to Organizational Change,1982,1377,0,
10565,,0,0,0,
11117,Adapting an international food composition table for use in rural Kenya,2004,0,1279,Food composition table; Food density table; International minilist (IML); Dietary assessment
11203,Speed Scaling of Tasks with Precedence Constraints,2008,0,170,
11299,Flood delta at Midnight Pass,1987,0,0,"Deltas,Midnight Pass"
11512,Equational Termination by Semantic Labelling,2000,607,0,
11855,Control Systems Design Driven by Worst-Initial-Energy Sensitivity,2003,0,309,
12028,Papillated squamous cell carcinoma in situ arising in a seborrheic keratosis,1981,0,3453,
13188,Dual-Stokes CARS system for simultaneous measurement of temperature and multiple species in turbulent flames,1991,0,0,
13421,Shadow detection using 2D cepstrum,2009,0,0,
13743,More on Cardinal Invariants of Boolean Algebras,2000,0,237,Boolean algebras; Cardinal functions; Forcing
14482,On the 100% Rule of Sensivity Analzsis in Linear Programming,1997,585,0,
14834,Discrimination in Labor Markets,1991,0,0,
14898,Design of a Real Time FPGA-Based Three Dimensional Positioning Algorithm,2011,0,8423,
14993,A Comparative Study of Some Two-Processor Organizations,1980,0,18,
15618,,2011,0,5320,
15665,Empirical Exchange Rate Models of the NinetiesAre Any Fit to Survive?,2004,0,0,"exchange rates,monetary model,productivity,interest rate parity,purchasing power parity,forecasting performance"
16415,An XML Programming Language for Web Service Specification and Composition,2001,0,12,
17686,On marrying ontological and metamodeling technical spaces,2007,682,0,"Keywords Model Driven Engineering, Meta Modeling, Ontology"
18316,Microwave frequency ferroelectric domain imaging of deuterated triglycine sulfate crystals,2001,0,0,
18614,An Algorithm for Designing Multiple Gabor Flters for Segmenting Multi-Textured Images,1998,1096,0,
18731,Heitmann's proof of the direct summand conjecture in dimension 3,2002,0,0,"Commutative Algebra, 13C14,13D22"
19727,Noncontinuum drag force on a nanowire vibrating normal to a wall: Simulations and theory,2010,0,0,
20543,Nonperiodic Long-Range Order for Fast-Decaying Interactions at Positive Temperatures,1998,0,8499,
20601,Influence of dipolar interactions on the conduction mechanism of Li +-β-alumina: Molecular Dynamics study,2005,0,8626,Li+-β-alumina; Induced dipolar interactions; Molecular dynamics; Self-diffusion
20978,Stability of block LU-decompositions of matrices arising from BVP,1984,0,17648,
21226,Parlists - A Generalization of Powerlists,1997,691,0,
21388,Objective functions for tomographic reconstruction from randoms-precorrected PET scans,1996,0,0,
21444,Theory of Separated Electron Pairs,1958,0,1957,
21482,Digital Filters Applicable to Electroencephalographic Pattern Recognition,1971,57,0,
21794,Nuclear and trace ideals in tensored ∗-categories,1999,0,7269,18D15; 47B10; 46M05; 46F05; 28A35
22492,LIRA: An Approach for Service Differentiation in the Internet,0,0,0,
23576,Tax-loss trading and wash sales,2004,0,4868,January effect; Tax-loss selling; Wash sales; Empirical anomalies; Stock returns
23873,,2009,0,6235,Ozone formation; Eta–CMAQ model; Process analysis; Back trajectory
24030,SERENDIP - UC Berkeley SETI Program - Status Report,1998,0,0,
24321,Bursty and Hierarchical Structure in Streams,2003,0,152,"Keywords: data stream algorithms, text mining, Markov source models"
24858,A Random NP-Complete Problem for Inversion of 2D Cellular Automata,1995,0,269,
24962,,2010,3678,0,
25496,Learning momentum: online performance enhancement for reactive systems,1992,38,0,
26060,Editorial,2003,0,373,
26803,Mean-square performance of a family of affine projection algorithms,2004,0,854,
28903,On the learning mechanism of adaptive filters,2000,0,854,
29507,Signal Transduction via the MAP Kinases: Proceed at Your Own RSK,1993,0,919,
30604,"Differential resistance of insect sodium channels with kdr mutations to deltamethrin, permethrin and DDT",2011,0,8983,Voltage-gated sodium channel; Pyrethroid; DDT; Insecticide resistance; Xenopus oocyte; Voltage clamp
32498,Modeling Variation Propagation of Multi-Station Assembly Systems With Compliant Parts,2003,0,5566,
32948,Application of radio phase modes to modification and remote sensing of the atmosphere and space,2009,0,0,
33409,Photooxidation of dimethyl sulfide and dimethyl disulfide. II: Mechanism evaluation,1990,0,6403,
33595,A test rig for scaffold couplers,1977,0,6909,
33707,From disasters to WOW: using web science to understand and enable 21st century multidimensional networks,2011,0,0,social networks|web science
33813,Using agents to build a practical implementation of the INCA (intelligent community alarm) system,2001,254,0,
34121,Laser induced photodissociation of H+2 and D+2 ions,1974,0,1957,
34244,Dynorphin A(1–17) mediates midazolam antagonism of morphine antinociception in mice☆,1993,0,8086,
34318,,2011,0,4130,
34373,Transformation of Progesterone and Related Steroids by Aspergillus tamarii,1965,0,2163,
34375,R 4 corrections to conifolds and G 2-holonomy spaces,2002,0,8528,11.25.-w; 11.25.Mj
34500,Simulation Results for a CDMA Interference Cancellation Technique in a Rayleigh Fading Channel,1994,257,0,
